,gene1,gene2,pcc,pcc.pvalue
cor4304,IKBKAP,ASXL1,0.43257981438378,1.7293423996918e-25
cor3896,IKBKAP,BRPF1,0.431397324940826,2.41274089073776e-25
cor1107,IKBKAP,RHOG,-0.430556511695376,3.05494902174292e-25
cor3614,IKBKAP,DMTF1,0.430022656070722,3.54756882168137e-25
cor3122,IKBKAP,PCGF3,0.429663961272123,3.92184089370462e-25
cor4070,IKBKAP,CYBB,-0.429340351983153,4.29283019218735e-25
cor4026,IKBKAP,PLSCR1,-0.427770151009401,6.64673188935634e-25
cor8385,IKBKAP,KIAA0907,0.427706335937051,6.7655558784845e-25
cor4465,IKBKAP,HNRNPA1,0.426354397999511,9.83888894470827e-25
cor6486,IKBKAP,CPVL,-0.426197810206468,1.02739316034481e-24
cor5188,IKBKAP,CROP,0.42594214203567,1.1025438081081e-24
cor7129,IKBKAP,CEP192,0.425430783695647,1.26951645215772e-24
cor6949,IKBKAP,TREM2,-0.42532441895961,1.30726576787284e-24
cor9905,IKBKAP,TSC1,0.424885344239356,1.47518759352855e-24
